Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","2.647003","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","13.507422","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","14.130793","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","13.507422","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","14.130793","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","8.197521","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","26.420199","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","26.723326","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6157","Part du PIB en devise locale","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","26.420199","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6186","Part du PIB en devise locale, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","26.723326","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6182","Croissance annuelle US $, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","6.411059","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6103","Part du PIB US $","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.530422","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6187","Part du PIB US$, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.712226","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6157","Part du PIB en devise locale","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","3.530422","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6186","Part du PIB en devise locale, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","4.712226","E","Valeur estimée",""
"MK","Indicateurs macro","004","Afghanistan","6182","Croissance annuelle US $, aux prix de 2015","22075","Valeur ajoutée (Industrie manufacturière)","2017","2017","%","18.122969","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6182","Croissance annuelle US $, aux prix de 2015","22008","Produit Intérieur Brut","2017","2017","%","1.414513","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22015","Formation brute de capital fixe","2017","2017","%","18.764543","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6187","Part du PIB US$, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","19.444454","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6157","Part du PIB en devise locale","22015","Formation brute de capital fixe","2017","2017","%","18.764543","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6186","Part du PIB en devise locale, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","19.444454","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6182","Croissance annuelle US $, aux prix de 2015","22015","Formation brute de capital fixe","2017","2017","%","1.046375","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6103","Part du PIB US $","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.361236","E","Valeur estimée",""
"MK","Indicateurs macro","710","Afrique du Sud","6187","Part du PIB US$, aux prix de 2015","22016","Valeur ajoutée (agriculture, sylviculture et pêche)","2017","2017","%","2.233384","E","Valeur estimée",""
