Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02132","Anes","2017","2017","Tête","1317000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02111","Bovins","2017","2017","Tête","4977000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02121.01","Camelidés","2017","2017","Tête","172000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02123","Caprins","2017","2017","Tête","7598000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02131","Chevaux","2017","2017","Tête","175000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02133","Mules et bardots","2017","2017","Tête","24000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5111","Réserves","02122","Ovins","2017","2017","Tête","13866000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","004","Afghanistan","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","13573","A","Chiffre officiel"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02132","Anes","2017","2017","Tête","148694","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02111","Bovins","2017","2017","Tête","12953388","A","Chiffre officiel"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02154","Canards","2017","2017","1000 têtes","410","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02123","Caprins","2017","2017","Tête","5474800","A","Chiffre officiel"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02131","Chevaux","2017","2017","Tête","323564","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02152","Dindes","2017","2017","1000 têtes","544","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02133","Mules et bardots","2017","2017","Tête","15312","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02153","Oies","2017","2017","1000 têtes","142","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02122","Ovins","2017","2017","Tête","22688930","A","Chiffre officiel"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","178634","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5114","Réserves","02196","Ruches","2017","2017","No","71499","I","Valeur imputée"
"QCL","Cultures et produits animaux","710","Afrique du Sud","5111","Réserves","02140","Suidés / Porcins","2017","2017","Tête","1480839","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02132","Anes","2017","2017","Tête","56000","T","Chiffre non officiel"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02111","Bovins","2017","2017","Tête","475215","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02112","Buffles","2017","2017","Tête","118","E","Valeur estimée"
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02154","Canards","2017","2017","1000 têtes","","M","Valeur manquante (les données ne peuvent exister, sans objet)"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02123","Caprins","2017","2017","Tête","933121","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02131","Chevaux","2017","2017","Tête","32258","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02152","Dindes","2017","2017","1000 têtes","409","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02133","Mules et bardots","2017","2017","Tête","","M","Valeur manquante (les données ne peuvent exister, sans objet)"
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02153","Oies","2017","2017","1000 têtes","","M","Valeur manquante (les données ne peuvent exister, sans objet)"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02122","Ovins","2017","2017","Tête","1925511","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","7835","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5114","Réserves","02196","Ruches","2017","2017","No","289962","A","Chiffre officiel"
"QCL","Cultures et produits animaux","008","Albanie","5111","Réserves","02140","Suidés / Porcins","2017","2017","Tête","180087","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02132","Anes","2017","2017","Tête","95176","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02111","Bovins","2017","2017","Tête","1895126","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02121.01","Camelidés","2017","2017","Tête","381882","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02154","Canards","2017","2017","1000 têtes","62","I","Valeur imputée"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02123","Caprins","2017","2017","Tête","5007894","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02131","Chevaux","2017","2017","Tête","46841","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02152","Dindes","2017","2017","1000 têtes","96","I","Valeur imputée"
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02191","Leporides","2017","2017","1000 têtes","1682","I","Valeur imputée"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02133","Mules et bardots","2017","2017","Tête","19247","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02153","Oies","2017","2017","1000 têtes","36","E","Valeur estimée"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02122","Ovins","2017","2017","Tête","28393602","A","Chiffre officiel"
"QCL","Cultures et produits animaux","012","Algérie","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","136595","I","Valeur imputée"
"QCL","Cultures et produits animaux","012","Algérie","5114","Réserves","02196","Ruches","2017","2017","No","421765","I","Valeur imputée"
"QCL","Cultures et produits animaux","012","Algérie","5111","Réserves","02140","Suidés / Porcins","2017","2017","Tête","4942","E","Valeur estimée"
"QCL","Cultures et produits animaux","276","Allemagne","5111","Réserves","02111","Bovins","2017","2017","Tête","12281195","A","Chiffre officiel"
"QCL","Cultures et produits animaux","276","Allemagne","5111","Réserves","02112","Buffles","2017","2017","Tête","8674","A","Chiffre officiel"
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02154","Canards","2017","2017","1000 têtes","2453","I","Valeur imputée"
"QCL","Cultures et produits animaux","276","Allemagne","5111","Réserves","02123","Caprins","2017","2017","Tête","140000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","276","Allemagne","5111","Réserves","02131","Chevaux","2017","2017","Tête","442000","E","Valeur estimée"
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02152","Dindes","2017","2017","1000 têtes","12000","E","Valeur estimée"
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02191","Leporides","2017","2017","1000 têtes","58","I","Valeur imputée"
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02153","Oies","2017","2017","1000 têtes","303","I","Valeur imputée"
"QCL","Cultures et produits animaux","276","Allemagne","5111","Réserves","02122","Ovins","2017","2017","Tête","1579800","A","Chiffre officiel"
"QCL","Cultures et produits animaux","276","Allemagne","5112","Réserves","02151","Poulets","2017","2017","1000 têtes","160000","E","Valeur estimée"
"QCL","Cultures et produits animaux","276","Allemagne","5114","Réserves","02196","Ruches","2017","2017","No","771850","E","Valeur estimée"
"QCL","Cultures et produits animaux","276","Allemagne","5111","Réserves","02140","Suidés / Porcins","2017","2017","Tête","27577600","A","Chiffre officiel"
"QCL","Cultures et produits animaux","024","Angola","5111","Réserves","02132","Anes","2017","2017","Tête","4475","I","Valeur imputée"
"QCL","Cultures et produits animaux","024","Angola","5111","Réserves","02111","Bovins","2017","2017","Tête","5069445","I","Valeur imputée"
"QCL","Cultures et produits animaux","024","Angola","5111","Réserves","02123","Caprins","2017","2017","Tête","4385840","E","Valeur estimée"
"QCL","Cultures et produits animaux","024","Angola","5111","Réserves","02131","Chevaux","2017","2017","Tête","1016","I","Valeur imputée"
