Zone,Population (2017),Evo 2015_2017 %,Dispo intérieure poulet,Exportations poulet,Importations poulet,Production poulet,Consommation poulet,PIB (US$),Index de stabilité,Taux des droits de douane
Afghanistan,36296113.0,5.5,57.0,0.0,29.0,28.0,55.0,520.616409,-2.8,5.63
Afrique du Sud,57009756.0,2.9,2118.0,63.0,514.0,1667.0,2035.0,6121.876572,-0.28,4.4
Albanie,2884169.0,-0.2,47.0,0.0,38.0,13.0,47.0,4514.204908,0.38,1.1
Algérie,41389189.0,4.2,277.0,0.0,2.0,275.0,264.0,4109.696001,-0.92,10.16
Allemagne,82658409.0,1.1,1739.0,646.0,842.0,1514.0,1609.0,44651.829102,0.59,1.48
Angola,29816766.0,6.9,319.0,0.0,277.0,42.0,315.0,4095.811686,-0.33,9.23
Antigua-et-Barbuda,95426.0,2.0,7.0,0.0,7.0,0.0,5.0,15383.415188,0.75,13.07
Arabie saoudite,33101178.0,4.4,1435.0,10.0,722.0,616.0,1435.0,20802.464299,-0.58,4.23
Argentine,43937140.0,2.0,1962.0,207.0,8.0,2161.0,1856.0,14648.845969,0.17,6.88
Arménie,2944791.0,0.7,47.0,0.0,35.0,11.0,47.0,3914.525246,-0.62,3.11
Australie,24584620.0,2.7,1171.0,42.0,16.0,1269.0,1171.0,57628.863849,0.89,0.71
Autriche,8819901.0,1.6,173.0,78.0,110.0,148.0,160.0,47309.051637,1.05,1.48
Azerbaïdjan,9845320.0,2.3,129.0,0.0,27.0,104.0,129.0,4150.868844,-0.75,5.93
Bahamas,381755.0,2.0,26.0,0.0,24.0,6.0,16.0,32376.12978,0.99,17.05
Bangladesh,159685424.0,2.2,250.0,0.0,0.0,249.0,240.0,1538.233627,-1.26,10.99
Barbade,286232.0,0.3,17.0,0.0,2.0,15.0,13.0,17419.313704,0.97,11.82
Bélarus,9450231.0,0.1,265.0,152.0,21.0,463.0,264.0,5790.908054,-0.05,1.76
Belgique,11419748.0,1.2,152.0,656.0,338.0,463.0,144.0,44025.903247,0.43,1.48
Belize,375769.0,4.1,19.0,0.0,0.0,20.0,10.0,4909.683057,0.04,18.69
Bénin,11175198.0,5.7,161.0,0.0,123.0,18.0,161.0,1136.59336,0.03,9.86
Bolivie (État plurinational de),11192855.0,3.0,429.0,1.0,1.0,533.0,403.0,3351.127399,-0.28,5.18
Bosnie-Herzégovine,3351525.0,-2.3,55.0,8.0,10.0,61.0,56.0,5394.741461,-0.35,2.86
Botswana,2205080.0,4.0,7.0,0.0,3.0,5.0,7.0,7893.36292,1.02,0.8
Brésil,207833823.0,1.6,9982.0,4223.0,3.0,14201.0,9982.0,9928.675992,-0.42,8.41
Bulgarie,7102444.0,-1.4,157.0,45.0,108.0,107.0,157.0,8335.277986,0.33,1.48
Burkina Faso,19193234.0,6.0,46.0,0.0,0.0,46.0,44.0,734.996282,-0.93,7.15
Cabo Verde,537498.0,2.4,10.0,0.0,12.0,1.0,9.0,3292.638357,0.77,12.18
Cambodge,16009409.0,3.1,38.0,0.0,10.0,28.0,37.0,1385.260419,0.09,6.21
Cameroun,24566073.0,5.4,82.0,0.0,0.0,81.0,78.0,1425.106072,-1.1,15.46
Canada,36732095.0,2.0,1433.0,163.0,182.0,1417.0,1433.0,44906.74892,1.1,1.49
Chili,18470439.0,2.8,672.0,115.0,155.0,712.0,672.0,14998.813979,0.42,0.43
Chine - RAS de Hong-Kong,7306322.0,1.7,280.0,663.0,907.0,24.0,391.0,46705.027813,0.83,0.0
Chine - RAS de Macao,622585.0,3.4,19.0,0.0,23.0,3.0,21.0,81043.968656,1.43,0.0
"Chine, continentale",1421021791.0,1.0,18161.0,576.0,452.0,18236.0,17518.0,8663.126784,0.0,2.47
Chypre,1179678.0,1.6,38.0,1.0,14.0,25.0,30.0,26755.5929,0.54,1.48
Colombie,48909839.0,2.9,1643.0,2.0,78.0,1564.0,1565.0,6376.707362,-0.77,2.4
Congo,5110695.0,5.2,110.0,0.0,104.0,7.0,110.0,2154.629048,-0.53,11.55
Costa Rica,4949954.0,2.1,134.0,3.0,17.0,133.0,131.0,12225.577172,0.61,1.51
Côte d'Ivoire,24437470.0,5.2,65.0,0.0,7.0,58.0,62.0,2111.026809,-1.09,7.63
Croatie,4182857.0,-1.2,45.0,17.0,24.0,61.0,45.0,13439.243178,0.69,1.48
