Pays;Economy 2019;Economy 2020
Afghanistan;44.2;44.1
Afrique du Sud;66.7;67
Albanie;67;67.7
Algérie;48.5;48.6
Allemagne;79.3;79.7
Angola;41.2;41.3
Antigua-et-Barbuda;59.9;60.3
Arabie saoudite;63.8;71.6
Argentine;58.2;59
Arménie;73.2;74.5
Australie;80.7;81.2
Autriche;78.7;78.7
Azerbaïdjan;73.6;76.7
Bahamas;59.4;59.9
Bahreïn;70.1;76
Bangladesh;42.5;45
Bangladesh - Chittagong;43.4;45.6
Bangladesh - Dacca;42.2;44.9
Barbade;57.7;57.9
Bélarus;74.4;74.3
Belgique;74.7;75
Belize;55.3;55.5
Bénin;51.7;52.4
Bhoutan;66;66
Bolivie (État plurinational de);51.6;51.7
Bosnie-Herzégovine;65.4;65.4
Botswana;66.2;66.2
Brésil;58.6;59.1
Brésil - Rio de Janeiro;59;59.5
Brésil - São Paulo;58.3;58.8
Brunéi Darussalam;69.6;70.1
Bulgarie;71.8;72
Burkina Faso;51.3;51.4
Burundi;46.5;46.8
Cambodge;53.8;53.8
Cameroun;46;46.1
Canada;79.7;79.6
Cabo Verde;54;55
Chili;72.3;72.6
Chine;74;77.9
Chine, continentale;73.9;78.2
Chine - Shanghai;74;77.7
Chypre;72.8;73.4
Cisjordanie et Gaza;59.7;60
Colombie;69.2;70.1
Comores;47;47.9
Congo;38.2;39.5
Corée, République de;84;84
Costa Rica;68.8;69.2
Côte d'Ivoire;58.3;60.7
Cuba;0;0
Croatie;73;73.6
Danemark;85.2;85.3
Djibouti;58.4;60.5
Dominique;60.5;60.5
Égypte;58.5;60.1
El Salvador;64.9;65.3
Émirats arabes unis;81.6;80.9
Équateur;57.6;57.7
Érythrée;21.5;21.6
Espagne;77.7;77.9
Estonie;80.8;80.6
Eswatini;58.7;59.5
États-Unis d'Amérique;83.6;84
États-Unis - Los Angeles;81.4;82.2
États-Unis - New York;85;85.2
Éthiopie;47.1;48
Fidji;61.4;61.5
Finlande;80;80.2
France;76.8;76.8
Gabon;44.5;45
Gambie;47.8;50.3
Géorgie;83.5;83.7
Ghana;60.4;60
Grèce;67.4;68.4
Grenade;53.4;53.4
Guatemala;62.5;62.6
Guinée;49.3;49.4
Guinée équatoriale;40.5;41.1
Guinée-Bissau;43.2;43.2
Guyana;55.6;55.5
Haïti;37.9;40.7
Honduras;56;56.3
Hongrie;73.2;73.4
Îles Marshall;50.9;50.9
Îles Salomon;55.2;55.3
Inde;67.5;71
Inde - Delhi;68.1;71.9
Inde - Mumbai;66.8;70.1
Indonésie;68.2;69.6
Indonésie - Jakarta;68.4;69.8
Indonésie - Surabaya;67.4;68.8
Iran (République islamique d');58.6;58.5
Iraq;44.7;44.7
Irlande;79.6;79.6
Islande;79;79
Israël;75;76.7
Italie;73;72.9
Jamaïque;68.3;69.7
Japon;78;78
Japon - Osaka;78.5;78.4
Japon - Tokyo;77.8;77.8
Jordanie;61.3;69
Kazakhstan;78;79.6
Kenya;71;73.2
Kirghizistan;65.4;67.8
Kiribati;46.8;46.9
Kosovo;71;73.2
Koweït;62.6;67.4
Lao,  République démocratique populaire;49.8;50.8
Lesotho;58.7;59.4
Lettonie;80.3;80.3
Liban;54.4;54.3
Libéria;43.5;43.2
Libye;32.7;32.7
Liechtenstein, Principauté du*;64.9;64.8
Lituanie;81;81.6
Luxembourg;69.6;69.6
Macédoine du Nord;80.7;80.7
Madagascar;47;47.7
Malaisie;81.3;81.5
Malawi;60.4;60.9
Maldives;53.3;53.3
Mali;53.1;52.9
Malte;65.5;66.1
Maroc;71.7;73.4
Maurice;80.3;81.5
Mauritanie;49.4;51.1
Mexique;72.3;72.4
Mexique - Mexico;71.6;71.7
Mexique - Monterrey;75.7;75.7
Micronésie, États fédérés;48.1;48.1
République de Moldova;73.1;74.4
Mongolie;67.7;67.8
Monténégro;73.7;73.8
Mozambique;54.6;55
Myanmar;43.5;46.8
Namibie;61.4;61.4
Népal;59.7;63.2
Nicaragua;54.5;54.4
Niger;52.3;56.8
Nigéria;53.4;56.9
Nigéria - Kano;56;58.2
Nigéria - Lagos;52.6;56.5
Norvège;82.9;82.6
Nouvelle-Zélande;87;86.8
Oman;68.8;70
Ouganda;58.4;60
Ouzbékistan;67.8;69.9
Pakistan;55.5;61
Pakistan - Karachi;54;59.5
Pakistan - Lahore;58.2;63.6
Palaos;53.7;53.7
Panama;66.9;66.6
Papouasie-Nouvelle-Guinée;59.4;59.8
Paraguay;58.5;59.1
Pays-Bas;76.1;76.1
Pérou;68.3;68.7
Philippines;60.9;62.8
Pologne;76.9;76.4
Porto Rico;70;70.1
Portugal;76.4;76.5
Qatar;66.7;68.7
Chine - RAS de Hong-Kong;85.1;85.3
République arabe syrienne;41.5;42
République centrafricaine;34.8;35.6
République dominicaine;59.3;60
République tchèque;76.3;76.3
Roumanie;72.5;73.3
Royaume-Uni de Grande-Bretagne et d'Irlande du…;83.6;83.5
Fédération de Russie;77.4;78.2
Russie, Fédération de - Moscou;77.5;78.3
Russie, Fédération de - St. Petersbourg;77.2;77.9
Rwanda;75.4;76.5
Saint-Kitts-et-Nevis;54.6;54.6
Saint-Marin;64.2;64.2
Saint-Vincent-et-les Grenadines;57;57.1
Sainte-Lucie;63.6;63.7
Samoa;62.1;62.1
Sao Tomé-et-Principe;45;45
Sénégal;54.4;59.3
Serbie;73.9;75.7
Seychelles;61.5;61.7
Sierra Leone;47.2;47.5
Singapour;85.8;86.2
Slovaquie;75.4;75.6
Slovénie;76.4;76.5
Somalie;20;20
Soudan;48;44.8
Soudan du Sud;33.6;34.6
Sri Lanka;61.8;61.8
Suède;82;82
Suisse;76.6;76.6
Suriname;47.4;47.5
Tadjikistan;55.4;61.3
Chine, Taiwan Province de;81;80.9
République-Unie de Tanzanie;54.3;54.5
Tchad;36.7;36.9
Thaïlande;79.5;80.1
Timor-Leste;39.7;39.4
Togo;55.3;62.3
Tonga;61.7;61.4
Trinité-et-Tobago;61;61.3
Tunisie;67.2;68.7
Turquie;75.3;76.8
Ukraine;69.1;70.2
Uruguay;61.4;61.5
Vanuatu;60.7;61.1
Venezuela (République bolivarienne du);32.1;30.2
Viet Nam;68.6;69.8
Yémen;30.7;31.8
Zambie;65.7;66.9
Zimbabwe;50.5;54.5
République de Corée;5;5
République populaire démocratique de Corée;0;0
Tchéquie;0;0
Turkménistan;;
